timestamp_ns,cam_id,corner_x,corner_y,corner_id,radius
0,0,18.03,106.82,0,2.09
0,0,39.67,97.8,1,2.57
0,0,47.13,94.76,4,2.23
0,0,74.53,83.88,5,2.02
0,0,24.77,166.69,6,2.53
0,0,1.86,171.15,7,2.46
0,0,84.1,80.2,8,1.94
0,0,119.74,66.93,9,1.73
0,0,62.86,159.78,10,1.67
0,0,32.8,165.19,11,3.03
0,0,132.36,62.4,12,2.29
0,0,180.22,46.04,13,2.38
0,0,114.48,151.32,14,2.05
0,0,73.56,157.94,15,1.66
0,0,197.46,40.44,16,2.28
0,0,264.14,20.23,17,2.41
0,0,187.65,141.05,18,1.18
0,0,129.35,149.08,19,2.66
0,0,288.63,13.36,20,2.39
0,0,297.19,129.15,22,1.46
0,0,209.39,138.37,23,1.69
0,0,9.91,193.38,29,1.45
0,0,17.46,192.63,32,2.25
0,0,45.79,190.0,33,1.63
0,0,55.89,189.13,36,1.89
0,0,94.58,186.09,37,1.26
0,0,32.7,305.27,38,2.53
0,0,1.04,295.19,39,2.84
0,0,108.68,185.1,40,2.04
0,0,164.13,181.79,41,1.69
0,0,90.38,323.58,42,2.04
0,0,44.31,308.96,43,1.8
0,0,184.89,180.79,44,1.76
0,0,269.24,177.94,45,2.06
0,0,179.78,351.83,46,1.8
0,0,107.82,329.1,47,1.9
0,0,14.87,343.4,61,1.91
0,0,25.77,348.67,64,1.6
0,0,69.13,369.37,65,1.57
0,0,7.27,520.93,66,1.97
0,0,85.58,377.13,68,1.75
0,0,153.74,408.76,69,1.34
0,0,78.68,596.82,70,2.96
0,0,21.03,536.07,71,2.32
0,0,4.03,584.67,92,2.84
0,0,59.31,653.67,93,2.1
0,0,10.0,827.1,94,1.51
1,0,269.05,257.43,0,2.05
1,0,292.83,255.93,1,2.08
1,0,273.41,301.41,2,2.31
1,0,250.36,300.97,3,1.99
1,0,300.62,255.47,4,2.27
1,0,327.67,253.95,5,2.0
1,0,307.29,302.18,6,1.64
1,0,280.98,301.56,7,2.3
1,0,336.56,253.48,8,1.93
1,0,367.5,251.98,9,1.66
1,0,346.13,303.27,10,2.12
1,0,315.95,302.41,11,2.15
1,0,377.69,251.53,12,1.47
1,0,413.25,250.11,13,1.94
1,0,390.93,304.8,14,1.88
1,0,356.1,303.59,15,1.91
1,0,425.0,249.69,16,2.42
1,0,466.07,248.43,17,1.61
1,0,442.89,306.9,18,1.68
1,0,402.47,305.23,19,0.91
1,0,479.66,248.08,20,2.08
1,0,527.26,247.13,21,1.05
1,0,503.41,309.78,22,1.68
1,0,456.3,307.5,23,1.53
1,0,244.66,314.62,24,1.92
1,0,267.49,315.68,25,2.91
1,0,248.47,362.85,26,2.19
1,0,226.4,359.69,27,2.02
1,0,274.99,316.04,28,1.8
1,0,301.05,317.35,29,2.66
1,0,281.0,367.55,30,2.01
1,0,255.73,363.89,31,1.92
1,0,309.64,317.8,32,1.87
1,0,339.58,319.43,33,1.74
1,0,318.43,373.03,34,2.57
1,0,289.33,368.76,35,2.45
1,0,349.47,320.0,36,2.32
1,0,384.06,322.07,37,1.56
1,0,361.8,379.47,38,1.63
1,0,328.06,374.45,39,2.19
1,0,395.52,322.78,40,2.25
1,0,435.71,325.41,41,2.28
1,0,412.36,387.1,42,1.58
1,0,373.0,381.15,43,1.87
1,0,449.06,326.33,44,2.52
1,0,495.97,329.69,45,2.26
1,0,471.62,396.19,46,1.88
1,0,425.46,389.1,47,1.58
1,0,220.87,373.75,48,1.56
1,0,242.71,377.58,49,1.46
1,0,224.33,426.04,50,1.7
1,0,203.25,419.98,51,2.19
