timestamp_ns,cam_id,corner_x,corner_y,corner_id,radius,R_cam_00,R_cam_01,R_cam_02,R_cam_10,R_cam_11,R_cam_12,R_cam_20,R_cam_21,R_cam_22,t_cam_x,t_cam_y,t_cam_z,R_obj_00,R_obj_01,R_obj_02,R_obj_10,R_obj_11,R_obj_12,R_obj_20,R_obj_21,R_obj_22,t_obj_x,t_obj_y,t_obj_z
0,0,288.32,57.98,0,2.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,363.55,94.59,1,1.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,312.63,166.88,2,1.63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,236.17,128.22,3,2.34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,387.52,106.58,4,2.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,467.37,147.64,5,1.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,419.06,222.29,6,1.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,337.12,179.47,7,1.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,492.39,160.84,8,1.97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
0,0,574.27,205.15,9,1.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8700165516357605,-0.4405739325489544,-0.2212821950319766,0.466187591813661,0.8812020689069763,0.07843496027310984,0.1604379291776098,-0.17139872727769692,0.9720504859156165,-0.5,-0.6,1.0
